Position	LoadVarName	TidyName	OriginalName
1	V1	BodyAcc_mean_X	tBodyAcc-mean()-X
2	V2	BodyAcc_mean_Y	tBodyAcc-mean()-Y                        
3	V3	BodyAcc_mean_Z	tBodyAcc-mean()-Z
4	V4	BodyAcc_std_X	tBodyAcc-std()-X
5	V5	BodyAcc_std_Y	tBodyAcc-std()-Y
6	V6	BodyAcc_std_Z	tBodyAcc-std()-Z
41	V41	GravityAcc_mean_X	tGravityAcc-mean()-X
42	V42	GravityAcc_mean_Y	tGravityAcc-mean()-Y
43	V43	GravityAcc_mean_Z	tGravityAcc-mean()-Z
44	V44	GravityAcc_std_X	tGravityAcc-std()-X
45	V45	GravityAcc_std_Y	tGravityAcc-std()-Y
46	V46	GravityAcc_std_Z	tGravityAcc-std()-Z
81	V81	BodyAccJerk_mean_X	tBodyAccJerk-mean()-X
82	V82	BodyAccJerk_mean_Y	tBodyAccJerk-mean()-Y
83	V83	BodyAccJerk_mean_Z	tBodyAccJerk-mean()-Z
84	V84	BodyAccJerk_std_X	tBodyAccJerk-std()-X
85	V85	BodyAccJerk_std_Y	tBodyAccJerk-std()-Y
86	V86	BodyAccJerk_std_Z	tBodyAccJerk-std()-Z
121	V121	BodyGyro_mean_X	tBodyGyro-mean()-X
122	V122	BodyGyro_mean_Y	tBodyGyro-mean()-Y
123	V123	BodyGyro_mean_Z	tBodyGyro-mean()-Z
124	V124	BodyGyro_std_X	tBodyGyro-std()-X
125	V125	BodyGyro_std_Y	tBodyGyro-std()-Y
126	V126	BodyGyro_std_Z	tBodyGyro-std()-Z
161	V161	BodyGyroJerk_mean_X	tBodyGyroJerk-mean()-X
162	V162	BodyGyroJerk_mean_Y	tBodyGyroJerk-mean()-Y
163	V163	BodyGyroJerk_mean_Z	tBodyGyroJerk-mean()-Z
164	V164	BodyGyroJerk_std_X	tBodyGyroJerk-std()-X
165	V165	BodyGyroJerk_std_Y	tBodyGyroJerk-std()-Y
166	V166	BodyGyroJerk_std_Z	tBodyGyroJerk-std()-Z
201	V201	BodyAccMag_mean	tBodyAccMag-mean()
